cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	343	4	no matches		no matches		no matches		no matches		no matches		no matches	
3	343	4	no matches		no matches		no matches		no matches		no matches		no matches	
20	343	4	no matches		no matches		no matches		no matches		no matches		no matches	
1959	343	4	no matches		no matches		no matches		no matches		no matches		no matches	
2	S1	1	no matches		no matches		no matches		no matches		no matches		no matches	
4	S2	1	no matches		no matches		no matches		no matches		no matches		no matches	
6	174	2	no matches		no matches		no matches		no matches		no matches		no matches	
4610	174	2	no matches		no matches		no matches		no matches		no matches		no matches	
7	S3	1	no matches		no matches		no matches		no matches		no matches		no matches	
8	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
16	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
31	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
296	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
1031	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
1032	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
1038	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
1078	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
1351	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
2552	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
3189	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
3611	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
6335	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
6852	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
6854	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
7331	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
10066	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
10636	223	18		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778		0.7777777777777778
11	S4	1	no matches		no matches		no matches		no matches		no matches		no matches	
13	101	3		1.0		1.0		1.0		1.0		1.0		1.0
7376	101	3		1.0		1.0		1.0		1.0		1.0		1.0
7701	101	3		1.0		1.0		1.0		1.0		1.0		1.0
17	67	8		0.5		0.5		0.5		0.5		0.5		0.5
35	67	8		0.5		0.5		0.5		0.5		0.5		0.5
57	67	8		0.5		0.5		0.5		0.5		0.5		0.5
420	67	8		0.5		0.5		0.5		0.5		0.5		0.5
1029	67	8		0.5		0.5		0.5		0.5		0.5		0.5
2606	67	8		0.5		0.5		0.5		0.5		0.5		0.5
3137	67	8		0.5		0.5		0.5		0.5		0.5		0.5
4594	67	8		0.5		0.5		0.5		0.5		0.5		0.5
19	S5	1	no matches		no matches		no matches		no matches		no matches		no matches	
21	576	6		0.5		0.5		0.5		0.5		0.5		0.5
36	576	6		0.5		0.5		0.5		0.5		0.5		0.5
2623	576	6		0.5		0.5		0.5		0.5		0.5		0.5
4609	576	6		0.5		0.5		0.5		0.5		0.5		0.5
4709	576	6		0.5		0.5		0.5		0.5		0.5		0.5
5741	576	6		0.5		0.5		0.5		0.5		0.5		0.5
22	S6	1	no matches		no matches		no matches		no matches		no matches		no matches	
23	S7	1	no matches		no matches		no matches		no matches		no matches		no matches	
24	665	5		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777
1026	665	5		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777
1028	665	5		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777
1096	665	5		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777
1113	665	5		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777		0.9577777777777777
25	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
1809	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
1963	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
1977	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
1983	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
2169	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
2170	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
2669	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
2847	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
3286	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
3622	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
4256	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
4826	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
5455	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
6369	190	15		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594		0.9792592592592594
26	S8	1	no matches		no matches		no matches		no matches		no matches		no matches	
29	S9	1	no matches		no matches		no matches		no matches		no matches		no matches	
32	S10	1	no matches		no matches		no matches		no matches		no matches		no matches	
33	S11	1	no matches		no matches		no matches		no matches		no matches		no matches	
34	316	6		1.0		1.0		1.0		1.0		1.0		1.0
369	316	6		1.0		1.0		1.0		1.0		1.0		1.0
786	316	6		1.0		1.0		1.0		1.0		1.0		1.0
1044	316	6		1.0		1.0		1.0		1.0		1.0		1.0
1863	316	6		1.0		1.0		1.0		1.0		1.0		1.0
7405	316	6		1.0		1.0		1.0		1.0		1.0		1.0
37	448	2		1.0		1.0		1.0		1.0		1.0		1.0
3180	448	2		1.0		1.0		1.0		1.0		1.0		1.0
41	S12	1	no matches		no matches		no matches		no matches		no matches		no matches	
42	S13	1	no matches		no matches		no matches		no matches		no matches		no matches	
43	S14	1	no matches		no matches		no matches		no matches		no matches		no matches	
46	S15	1	no matches		no matches		no matches		no matches		no matches		no matches	
47	S16	1	no matches		no matches		no matches		no matches		no matches		no matches	
49	S17	1	no matches		no matches		no matches		no matches		no matches		no matches	
51	S18	1	no matches		no matches		no matches		no matches		no matches		no matches	
52	S19	1	no matches		no matches		no matches		no matches		no matches		no matches	
58	585	2		0.6666666666666666		0.6666666666666666		0.6666666666666666		1.0		0.6666666666666666		0.6666666666666666
3181	585	2		0.6666666666666666		0.6666666666666666		0.6666666666666666		1.0		0.6666666666666666		0.6666666666666666
59	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
84	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
234	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
770	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
1228	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
1409	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
1651	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
2718	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
2746	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
3227	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
3239	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
3471	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
3605	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
4292	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
4323	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
4325	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
5423	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
6412	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
7519	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
10754	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
11677	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
12212	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
12248	61	23		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435		0.2956521739130435
62	139	2		1.0		1.0		1.0		1.0		1.0		1.0
4597	139	2		1.0		1.0		1.0		1.0		1.0		1.0
63	1044	2		0.5		0.5		0.5		0.5		0.5		0.5
3390	1044	2		0.5		0.5		0.5		0.5		0.5		0.5
65	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
81	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
93	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
1118	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
1137	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
1219	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
1455	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
1543	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
2049	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
2656	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
2659	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
3350	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
3354	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
3362	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
3432	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
3523	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
4627	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
4641	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
4690	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
4776	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
6433	192	21		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756		0.9756613756613756
66	927	2	no matches		no matches		no matches		no matches		no matches		no matches	
1604	927	2	no matches		no matches		no matches		no matches		no matches		no matches	
67	S20	1	no matches		no matches		no matches		no matches		no matches		no matches	
78	25	21		1.0		1.0		1.0		1.0		1.0		1.0
1100	25	21		1.0		1.0		1.0		1.0		1.0		1.0
1104	25	21		1.0		1.0		1.0		1.0		1.0		1.0
1111	25	21		1.0		1.0		1.0		1.0		1.0		1.0
1629	25	21		1.0		1.0		1.0		1.0		1.0		1.0
1634	25	21		1.0		1.0		1.0		1.0		1.0		1.0
1724	25	21		1.0		1.0		1.0		1.0		1.0		1.0
2000	25	21		1.0		1.0		1.0		1.0		1.0		1.0
3304	25	21		1.0		1.0		1.0		1.0		1.0		1.0
3449	25	21		1.0		1.0		1.0		1.0		1.0		1.0
3542	25	21		1.0		1.0		1.0		1.0		1.0		1.0
3626	25	21		1.0		1.0		1.0		1.0		1.0		1.0
3673	25	21		1.0		1.0		1.0		1.0		1.0		1.0
4263	25	21		1.0		1.0		1.0		1.0		1.0		1.0
5302	25	21		1.0		1.0		1.0		1.0		1.0		1.0
7375	25	21		1.0		1.0		1.0		1.0		1.0		1.0
7421	25	21		1.0		1.0		1.0		1.0		1.0		1.0
7488	25	21		1.0		1.0		1.0		1.0		1.0		1.0
7489	25	21		1.0		1.0		1.0		1.0		1.0		1.0
7736	25	21		1.0		1.0		1.0		1.0		1.0		1.0
8943	25	21		1.0		1.0		1.0		1.0		1.0		1.0
82	S21	1	no matches		no matches		no matches		no matches		no matches		no matches	
90	281	4		1.0		1.0		1.0		1.0		1.0		1.0
1968	281	4		1.0		1.0		1.0		1.0		1.0		1.0
2629	281	4		1.0		1.0		1.0		1.0		1.0		1.0
4624	281	4		1.0		1.0		1.0		1.0		1.0		1.0
91	S22	1	no matches		no matches		no matches		no matches		no matches		no matches	
98	13	45		0.8701234567901235		0.8701234567901235		0.8701234567901235		0.8701234567901235		0.8701234567901235		0.8701234567901235
