CLUSTERID1	interaction	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation	shared_motifs	TopSharedMotifs
8032	cosine	8063	-3.9730000000000003	8032.0	0.8401	8032.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7969	cosine	8228	-36.034	7969.0	0.8564	7969.0	3	 	['motif_83', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5376	cosine	5975	-52.023999999999994	5376.0	0.8987	5376.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7939	cosine	7941	-1.003	7939.0	0.902	7939.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7453	cosine	7650	-14.046	7453.0	0.8988	7453.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
4949	cosine	6007	-82.074	4949.0	0.9093	4949.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7488	cosine	7760	-24.0	7488.0	0.9387	7488.0	3	 	['motif_53', 'motif_83', 'motif_73']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7598	cosine	7889	-26.016	7598.0	0.9383	7598.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8063	cosine	8073	-2.016	8063.0	0.8562	8063.0	3	 	['motif_53', 'motif_104', 'motif_73']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5639	cosine	7488	-214.22799999999998	5639.0	0.9076	5639.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7560	cosine	7849	-26.016	7560.0	0.8713	7560.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7560	cosine	7720	-13.992	7560.0	0.8220000000000001	7560.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5638	cosine	5639	-0.002	5638.0	0.9079	5638.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7598	cosine	7760	-13.98	7598.0	0.9193	7598.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7925	cosine	7996	-12.968	7925.0	0.9159	7925.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7783	cosine	8006	-26.016	7783.0	0.9081	7783.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7739	cosine	7849	-10.02	7739.0	0.8658	7739.0	3	 	['motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5923	cosine	5937	-2.016	5923.0	0.9086	5923.0	3	 	['motif_83', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7783	cosine	7939	-14.050999999999998	7783.0	0.9087	7783.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7987	cosine	8006	-2.016	7987.0	0.8873	7987.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7560	cosine	7871	-28.03	7560.0	0.879	7560.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5375	cosine	5655	-26.011	5375.0	0.8859	5375.0	3	 	['motif_83', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5612	cosine	5950	-28.025	5612.0	0.8276	5612.0	3	 	['motif_93', 'motif_53', 'motif_14']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5121	cosine	5376	-13.988	5121.0	0.9156	5121.0	3	 	['motif_53', 'motif_14', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7739	cosine	7871	-12.034	7739.0	0.9102	7739.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7941	cosine	8025	-11.965	7941.0	0.8818	7941.0	3	 	['motif_93']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
8163	cosine	8177	-2.016	8163.0	0.8370000000000001	8163.0	3	 	['motif_93', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7598	cosine	7911	-27.019000000000002	7598.0	0.9109999999999999	7598.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5536	cosine	6250	-54.053000000000004	5536.0	0.8413	5536.0	3	 	['motif_83', 'motif_14', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7208	cosine	7246	-3.995	7208.0	0.8509	7208.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5588	cosine	5611	-2.016	5588.0	0.8156	5588.0	3	 	['motif_83', 'motif_14', 'motif_104']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7739	cosine	7783	-4.033	7739.0	0.9028	7739.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7453	cosine	7488	-2.016	7453.0	0.9291	7453.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7218	cosine	7246	-2.965	7218.0	0.9096	7218.0	3	 	['motif_73', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
