,SMILES
35,CC1=C[C@H]([C@@H](C[C@H]1Cc1nnc(o1)c1ccc(cc1)N(C)C)C(C)C)C[N@H+](C)CCO
36,c1([C@@H]([C@@H]([C@H]([C@@H](/C(=C/[C@H](c2c(c(=O)c(c(o2)[C@H]([C@@H](OC(=O)C)CC)C)C)C)C)/C)O)C)OC(=O)C)C)c(c(=O)c(c(o1)CC)C)C
37,CC1([C@@H]2CC[C@](O1)(C[C@H]2[NH3+])[C@H]1CCC[C@H](C1)Cc1ccccc1)C
38,c1(c(cc(cc1O)CC(C)C)OC(=O)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\C=C/c1ccc(cc1)O)CCCCCCCCCCCC
39,CCCCn1c(=O)c2c([nH]c(C34CC5CC(CC4C5)C3)n2)n(CCCO)c1=O
40,C[N@@H+]1CCN(CC1)[C@@H]1[C@H]([C@@H]([C@H]2CO[C@@H]1O2)[NH2+]Cc1cc2ccccc2nc1)O
41,[C@]1([C@H](/C=C/[C@@H]([C@H](/C(=C/C=C/[C@@H](C[C@@H]2[C@H](O2)[C@@H]([C@H](CC)O)C)C)/C)OC(=O)C[C@@H](C[C@H]1OC(=O)C)O)C)OC(=O)C)(O)C
42,C[C@H]1CC[C@H]2[C@@]([C@H]3CC[C@@H]4[C@@H]([C@@H]3C[N@@H+]2C1)C[C@H]1[C@@]24CCC[C@]31C[C@]1(CC[C@H](C1)C[C@H](Cc1ccccc1)c1ccccc1)[C@@H](C[C@@H]3[C@H](C2)O)O)(C)O
43,C[C@@]12C[C@H]3C[C@@](C1)([C@@H]1C[C@]45[C@]1(C[C@H]1CCC[NH2+][C@H]1[C@H]4CCC5)[C@@H]([C@@H]2C=C3)O)O
44,Cn1c2cc(ccc2c2c1[C@@H](CO)N(CC1CC1)CC12CN(C1)C(=Nc1ccc(cc1F)F)O)OC
45,C[C@@H]1CN(Cc2ccc(cc2)F)[C@H](C)COc2ccc(cc2C(=O)N(C)C[C@H]1OC)N=C(C1CCCC1)O
46,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC
47,[H]OC([H])([H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H]
48,C[C@@H]([C@@H]([C@H]1[C@@H](C=C[C@H]([C@@H]1CC[NH3+])CCC/C=C\CCC1CCCCC1)C1(CCCCC1)c1ccccc1)C(=O)[O-])O
49,[C@H](C(=O)OC)(CCCCCC/C=C/CCCCCCCC)O
50,[C@@]12(C3=CC[C@@]4([C@H]([C@@]3(CC[C@@H]1[C@@]1([C@@H](CC2)C([C@@H](CC1)OC(=O)/C=C/c1cc(c(cc1)O)O)(C)C)C)C)CC(CC4)(C)C)C)C
51,C([C@H](CCO)O)[C@H](O)CCCCCCCCCCC=C
52,C(=O)(CC[C@H](CC/C=C\CC/C=C\CCCCC)C)O
53,C1CCN(CC1)C(=O)/C=C/C=C/c1ccc2c(c1)OCO2
54,CCCCCC/C=C\CCCCCCCCCC(=O)OCC
55,Cc1cc(c2c(c1)[C@]1([C@H](C[C@H](CC(C)C)[NH2+]1)C(=O)Nc1cc(ccc1OC)Cl)C(=O)N2)C
56,CCCCCC/C=C\CCCCCC(=O)O
