0
Cc1ccccc1C[N@@H+]1CCN(CC[N@@H+](CCN(CC1)Cc1ccccc1C)Cc1ccccc1C)Cc1ccccc1C
C[N@@H+]1CCc2cc(c(cc2[C@H]1Cc1ccc(cc1)OCOc1ccc(cc1)C[C@@H]1c2cc(c(cc2CC[N@H+]1C)OC)OC)OC)OC
[C@H]1([C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]([C@@H](/C=C/CCCCCCCCCCCCC)O)NC(=O)CCCCCCCCCCCCCCCCCCCCC)O)O)O)CO[P@@](=O)(OCC[N+](C)(C)C)[O-]
CCCC1=C(C)C(C)=C(CCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC2=C(C)C(C)=C(CCC)O2)O1
[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP([O-])(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
C[N@H+](Cc1ccccc1)Cc1cc(no1)C[C@H]1C[NH2+]CC[C@H]1CC(=O)NC1CCCCC1
C[NH2+]C[C@@H](CC(=O)[O-])/C=C/C[C@H](CCCCCC[C@H]1CCC=C1)Cc1ccc(cc1)O
CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C
CCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)C
CC[NH2+]CC1=C[C@]2(CC[C@@H]1[C@]1([C@H]([C@H]2C)O)[C@]([C@H]2[C@@H](O1)C[C@@]1([C@@]2(CC2(CCCC2)[C@H]2C1=CC(=O)[C@H]1[C@@]2(C[C@@H]([C@@H]([C@H]1c1ccc(c(c1)O)O)O)O)C)C)O)(CCO)O)C
COc1ccc(cc1[N+](=O)[O-])C(=O)CSc1nc2ccccc2o1
C[C@@H]([C@H]1CC[C@@]2([C@@]1(CC[C@H]1C2=CC(=O)[C@H]2[C@@]1(C[C@@H]([C@@H]([C@H]2C[NH2+]C)O)O)C)C)O)[C@@H](C/C(=C\1/CCCC2(C1)CCCC2)/C(C)C)O
c1cc2c(cc1CNC(=O)C[C@@H]1CC[NH2+]C[C@@H]1Cc1cc(on1)C[NH+]1CCCCC1)OCO2
CC(C)(C)c1cc(no1)C[C@H]1C[NH2+]CC[C@H]1CC(=O)NCc1ccccc1
Cc1cc(C(C#N)c2ccccc2)n2c(ncn2)n1
[C@@H]12[C@@]3([C@@H]([C@@H](C[C@H]1[C@H]1[C@@H](C2)[C@H]2[C@@H](CC1)[C@@]([C@H]1[N@@+](C2)(C[C@@H](CC1)C)[O-])(O)C)O)C[C@H](CC3)O)C
CCn1cc(c(=O)c2c1nc(cc2)C)C(=O)NC[C@@H]1CCC[N@@H+]2[C@@H]1CCCC2
C=C[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)C1CCCCC1
[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP([O-])(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[C@]12([C@H]([C@H]3[C@H](C2)[C@@]2([C@@H]([C@@H](C3)O)CC(=O)CC2)C)CC[C@H]2[C@H]1C[N@@+]1([C@H]([C@@H]2C)CC[C@H](C1)C)[O-])O
c1ccc(cc1)NC(=O)[C@@H]1[C@H](CC[C@H](O1)CC[NH+]1CCN(CC1)c1ccc(cc1)F)O
C[C@H]1CC[C@@H]2[C@@H]([C@@H]3CC[C@@H]4[C@H]([C@H]3C[N@H+]2C1)C[C@H]1[C@H]4CC(=O)[C@@H]2[C@@]1(CC[C@H](C2)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C)C
C[C@@H]1CC[C@H]2[C@@H]([C@@H]3CC[C@H]4[C@@H]([C@@H]3C[N@@H+]2C1)C[C@@H]1[C@H]4C[C@@H]([C@@H]2[C@@]1(CC[C@@H](C2)O)C)O)C
C[C@@]12CC[C@@H]3[C@H](C[C@]3(C)[C@H]3C[C@H](C[C@H]3Cc3ccc(cc3)O)[C@@H](NC(=[NH2+])NC)O)C(=C)C[C@]3([C@@H]1O2)CC[C@H](C3)CC[C@@]1(CCC[C@H](C1)O)O
C[N@H+]1CC[C@@H](CC1)N1CC[C@@H]2[C@H]1C(=O)NC[C@@H]([N@H+]2C)CCC(=O)N1CCN(CC1)c1cccc[nH+]1
[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP([O-])(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
c1cc[nH+]c(c1)N1CCN(CC1)CCCC(=O)c1ccc(cc1)F
c1cc2n(c(=O)c1NC(=O)NC1CCCCC1)C[C@H]1C[C@@H]2C[N@@H+](C1)C1CCOCC1
