CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
10052	11519	9	0.9696	-132.078
5891	11598	9	0.9719	-176.107
5915	11545	9	0.9833	-88.047
10041	10052	9	0.9778	44.025
10041	11927	9	0.973	-44.024
5893	9254	9	0.97	44.045
5871	11623	9	0.9753	-220.121
10072	10185	9	0.9708	-88.053
5943	11477	9	0.9311	44.036
9102	9173	9	0.9855	-44.022
9173	10170	9	0.976	44.015
10109	11545	9	0.9867	-44.020
9029	9181	9	0.9629	-132.090
9173	11623	9	0.982	-0.003
5860	5891	9	0.9766	56.069
9056	10041	9	0.9823	44.024
10041	11519	9	0.985	-88.053
10109	11512	9	0.9938	0.007
9029	11552	9	0.979	-132.090
10041	10185	9	0.9735	-132.078
5860	5893	9	0.9838	88.053
9100	11472	9	0.9765	132.078
9056	11552	9	0.9816	-88.052
9102	10258	9	0.9811	-44.027
9100	9181	9	0.9788	-44.026
5915	10258	9	0.9773	-132.072
5871	10120	9	0.9822	44.029
10072	11927	9	0.9814	0.001
9056	9181	9	0.9666	-88.052
10054	10120	9	0.9829	44.018
10258	11512	9	0.982	88.051
11472	11477	9	0.9736	-44.018
11472	11927	9	0.9698	-88.051
5871	5915	9	0.9843	-88.051
11552	11927	9	0.9738	88.053
10114	11598	9	0.969	-88.054
5915	9102	9	0.9813	-88.045
11519	11927	9	0.9694	44.029
10052	11472	9	0.9764	0.002
9029	11927	9	0.9735	-44.037
10185	11552	9	0.9677	0.001
10114	11519	9	0.9853	-0.004
5871	10109	9	0.981	-132.078
9029	10114	9	0.9782	-88.062
9029	11519	9	0.9771	-88.066
5891	10185	9	0.9711	-132.082
10114	10185	9	0.9776	-44.030
10109	11623	9	0.9849	-88.043
9100	11552	9	0.963	-44.026
9056	10052	9	0.9834	88.049
10072	11519	9	0.9842	-44.027
5871	11512	9	0.9829	-132.071
5891	10114	9	0.9722	-88.052
10170	11623	9	0.9805	-44.019
9254	11509	9	0.9737	-44.043
10185	11598	9	0.9745	-44.025
9029	9056	9	0.9884	-44.038
5860	5915	9	0.9865	-44.024
9100	10072	9	0.9651	44.025
10072	11552	9	0.9852	-88.052
9102	10109	9	0.9818	44.018
9173	10258	9	0.9809	-0.005
10052	10072	9	0.9823	-88.050
9102	11512	9	0.9829	44.025
9102	11623	9	0.98	-44.025
9173	10109	9	0.9815	88.039
5871	5893	9	0.9892	44.026
5860	11545	9	0.9813	-132.071
9056	10072	9	0.984	-0.001
5891	11519	9	0.9699	-88.057
9100	11477	9	0.9624	88.059
5915	11512	9	0.9862	-44.020
10035	10311	11	0.988	-132.080
5847	10311	11	0.9801	-176.110
11542	11544	11	0.981	-88.058
10035	10064	11	0.993	-44.027
5847	10086	11	0.9843	-0.002
5849	10064	11	0.988	-44.030
5887	10311	11	0.9853	-88.058
5887	10035	11	0.9909	44.022
10086	11581	11	0.9823	44.028
10064	11581	11	0.9797	132.083
5849	5875	11	0.9849	88.052
8955	11533	11	0.9721	44.025
5847	11581	11	0.9831	44.026
10311	10412	11	0.9823	-44.020
5847	11542	11	0.9855	-0.001
5875	10064	11	0.984	-132.082
5847	11544	11	0.9833	-88.059
10064	10086	11	0.9818	88.055
5887	10064	11	0.9887	-0.004
5875	11544	11	0.9825	-132.085
10311	11544	11	0.9853	88.051
5849	11544	11	0.9869	-44.033
5849	11542	11	0.9879	44.025
10035	11581	11	0.9855	88.056
